TEAM,SEASON,FGM_restricted,FGA_restricted,FG%_restricted,FGM_paint_non_ra,FGA_paint_non_ra,FG%_paint_non_ra,FGM_mid_range,FGA_mid_range,FG%_mid_range,FGM_left_corner_three,FGA_left_corner_three,FG%_left_corner_three,FGM_right_corner_three,FGA_right_corner_three,FG%_right_corner_three,FGM_above_the_break_three,FGA_above_the_break_three,FG%_above_the_break_three
Toronto Raptors,2011-12,14.5,23.8,60.9,4.0,10.0,40.3,10.3,28.0,36.8,0.7,1.9,38.4,0.7,2.2,30.7,4.2,12.1,34.3
Utah Jazz,2011-12,18.5,29.2,63.4,6.4,16.0,40.3,9.2,25.9,35.5,0.5,1.3,34.8,0.4,1.3,30.4,3.3,10.1,32.8
Washington Wizards,2011-12,17.1,27.4,62.4,4.4,12.8,34.4,9.8,26.4,37.2,1.1,2.5,42.2,0.9,2.5,37.6,3.2,11.2,28.5
Atlanta Hawks,2010-11,12.8,20.5,62.4,5.6,12.8,44.2,11.6,27.7,42.1,1.4,3.6,38.5,1.0,2.7,37.4,3.7,11.0,34.0
Boston Celtics,2010-11,16.8,26.1,64.3,4.0,9.8,40.6,11.2,26.4,42.3,1.0,2.0,47.8,0.8,1.7,44.9,3.3,9.9,33.1
Charlotte Bobcats,2010-11,16.7,28.6,58.5,3.8,10.0,38.2,9.7,24.4,39.8,0.4,1.4,30.4,0.6,1.4,45.0,3.8,11.7,32.2
Chicago Bulls,2010-11,17.2,28.2,61.0,3.7,9.7,38.6,9.9,25.2,39.5,1.0,2.6,37.5,0.9,2.3,37.2,4.4,12.2,36.2
Cleveland Cavaliers,2010-11,15.4,26.1,58.9,4.8,13.2,36.3,8.8,23.6,37.3,0.8,2.2,38.8,0.8,2.3,36.6,4.6,13.7,33.4
Dallas Mavericks,2010-11,13.9,21.1,65.8,4.7,11.8,40.1,11.0,24.4,45.0,1.4,3.8,36.7,1.2,2.8,42.9,5.3,14.8,35.7
Denver Nuggets,2010-11,19.1,31.6,60.4,3.1,7.9,39.0,8.1,20.3,39.9,1.4,3.7,37.0,1.1,2.4,45.5,5.6,14.4,38.7
Detroit Pistons,2010-11,16.5,26.7,61.6,3.8,10.6,36.1,11.2,28.4,39.4,1.3,3.3,40.0,1.0,2.4,40.5,3.4,9.4,36.6
Golden State Warriors,2010-11,16.9,27.0,62.7,4.4,12.5,34.9,10.0,25.1,39.8,1.7,3.8,43.6,1.1,2.8,41.2,5.6,14.6,38.2
Houston Rockets,2010-11,15.8,25.8,61.2,5.7,14.8,38.3,8.9,22.0,40.6,1.1,2.8,40.4,1.1,2.6,40.4,6.1,16.9,36.0
Indiana Pacers,2010-11,14.6,24.4,60.0,4.6,12.3,37.4,10.3,25.9,39.6,1.0,2.3,41.0,0.7,2.0,37.0,5.5,15.7,34.7
Los Angeles Clippers,2010-11,18.8,29.9,62.9,3.9,11.0,35.7,7.7,20.9,37.0,0.8,2.3,35.6,0.8,2.8,29.6,4.6,13.3,34.7
Los Angeles Lakers,2010-11,16.2,25.4,63.7,6.1,14.7,41.6,9.5,24.2,39.2,1.0,2.8,34.4,1.3,2.6,48.4,4.1,12.5,33.2
Memphis Grizzlies,2010-11,18.5,29.4,62.8,7.2,17.6,40.8,9.6,24.6,38.9,0.6,1.5,39.8,0.6,1.6,36.4,2.6,7.9,32.8
Miami Heat,2010-11,14.7,21.9,67.4,4.3,10.2,41.8,11.3,26.8,42.3,1.4,3.1,45.9,1.2,3.0,40.5,4.0,11.8,34.0
Milwaukee Bucks,2010-11,13.3,23.6,56.4,4.5,11.9,37.8,10.6,27.0,39.1,1.0,2.5,39.7,1.1,2.8,38.9,3.8,11.8,32.3
Minnesota Timberwolves,2010-11,14.2,24.1,58.7,6.1,16.3,37.6,10.2,26.0,39.3,1.0,2.2,46.0,0.9,1.9,45.7,5.3,14.8,36.1
