Year,Player,G,MP,Pos,TRB,AST,STL,BLK,PTS,TS%,3PAr,FTr,WS,OBPM,DBPM,VORP,DraftYear,DraftPick,ALL_STAR
2003,Nenê Hilário,80,28.2,C,6.1,1.9,1.6,0.8,10.5,0.545,0.005,0.551,5.0,-1.1,1.9,1.6,2002,7,0
2003,Chris Wilcox,46,10.4,PF,2.3,0.5,0.2,0.3,3.7,0.528,0.0,0.357,0.6,-2.0,-1.1,-0.1,2002,8,0
2003,Amar'e Stoudemire,82,31.3,PF,8.8,1.0,0.8,1.1,13.5,0.53,0.012,0.583,6.2,-0.9,-0.4,0.4,2002,9,1
2003,Caron Butler,78,36.6,SF,5.1,2.7,1.8,0.4,15.4,0.502,0.104,0.363,5.1,-0.4,1.0,1.8,2002,10,1
2003,Jared Jeffries,20,14.6,SF,2.9,0.8,0.4,0.3,4.0,0.521,0.095,0.46,0.3,-1.7,-0.6,0.0,2002,11,0
2003,Melvin Ely,52,15.4,C,3.3,0.3,0.2,0.6,4.5,0.54,0.0,0.398,0.8,-3.1,-1.1,-0.4,2002,12,0
2003,Marcus Haislip,39,11.3,PF,1.4,0.2,0.2,0.5,4.1,0.474,0.078,0.248,0.0,-3.6,-2.3,-0.4,2002,13,0
2003,Fred Jones,19,6.1,SG,0.5,0.3,0.3,0.1,1.2,0.446,0.292,0.167,0.0,-4.8,1.1,0.0,2002,14,0
2004,LeBron James,79,39.5,SG,5.5,5.9,1.6,0.7,20.9,0.488,0.145,0.308,5.1,2.3,-0.6,2.9,2003,1,1
2004,Darko Miličić,34,4.7,C,1.3,0.2,0.2,0.4,1.4,0.318,0.015,0.369,-0.2,-11.6,1.2,-0.3,2003,2,0
2004,Carmelo Anthony,82,36.5,SF,6.1,2.8,1.2,0.5,21.0,0.509,0.146,0.358,6.1,1.6,-1.6,1.5,2003,3,1
2004,Chris Bosh,75,33.5,C,7.4,1.0,0.8,1.4,11.5,0.513,0.02,0.404,6.2,-1.2,0.5,0.8,2003,4,1
2004,Dwyane Wade,61,34.9,PG,4.0,4.5,1.4,0.6,16.2,0.53,0.066,0.391,4.6,1.4,0.1,1.9,2003,5,1
2004,Chris Kaman,82,22.5,C,5.6,1.0,0.3,0.9,6.1,0.502,0.005,0.326,0.0,-3.4,-0.8,-1.0,2003,6,1
2004,Kirk Hinrich,76,35.6,PG,3.4,6.8,1.3,0.3,12.0,0.51,0.448,0.204,4.1,-0.5,-0.4,0.8,2003,7,0
2004,T.J. Ford,55,26.8,PG,3.2,6.5,1.1,0.1,7.1,0.443,0.053,0.246,0.7,-1.7,-0.6,-0.1,2003,8,0
2004,Mike Sweetney,42,11.8,PF,3.7,0.3,0.4,0.3,4.3,0.544,0.007,0.414,1.4,0.0,-1.2,0.1,2003,9,0
2004,Jarvis Hayes,70,29.2,SF,3.8,1.5,1.0,0.2,9.6,0.456,0.188,0.141,0.5,-3.0,-1.0,-1.1,2003,10,0
2004,Mickaël Piétrus,53,14.1,PG,2.2,0.5,0.6,0.2,5.3,0.528,0.455,0.325,1.5,-1.0,0.4,0.3,2003,11,0
2005,Nick Collison,82,17.0,C,4.6,0.4,0.4,0.6,5.6,0.57,0.008,0.333,3.9,-1.3,-0.4,0.1,2004,12,0
2004,Marcus Banks,81,17.1,PG,1.6,2.2,1.1,0.2,5.9,0.48,0.195,0.296,0.7,-3.4,0.4,-0.4,2003,13,0
2004,Luke Ridnour,69,16.1,PG,1.6,2.4,0.8,0.1,5.5,0.496,0.229,0.226,1.2,-0.9,-0.6,0.2,2003,14,0
2005,Dwight Howard,82,32.6,PF,10.0,0.9,0.9,1.7,12.0,0.571,0.003,0.61,7.3,0.1,-0.1,1.4,2004,1,1
2005,Emeka Okafor,73,35.6,PF,10.9,0.9,0.8,1.7,15.1,0.479,0.001,0.342,4.0,-0.7,-1.3,0.0,2004,2,0
2005,Ben Gordon,82,24.4,SG,2.6,2.0,0.6,0.1,15.1,0.526,0.313,0.256,3.5,1.0,-0.3,1.4,2004,3,0
2005,Shaun Livingston,30,27.1,PG,3.0,5.0,1.1,0.4,7.4,0.461,0.009,0.274,0.1,-2.3,-0.2,-0.1,2004,4,0
2005,Devin Harris,76,15.4,PG,1.3,2.2,1.0,0.3,5.7,0.53,0.358,0.281,2.7,-0.1,2.0,1.2,2004,5,1
2005,Josh Childress,80,29.7,SG,6.0,1.9,0.9,0.4,10.1,0.543,0.087,0.36,4.6,0.4,-1.0,0.8,2004,6,0
2005,Luol Deng,61,27.3,SF,5.3,2.2,0.8,0.4,11.7,0.496,0.181,0.251,3.0,0.2,1.0,1.3,2004,7,1
2005,Rafael Araújo,59,12.5,C,3.1,0.3,0.4,0.1,3.3,0.492,0.017,0.314,0.3,-6.5,-0.8,-1.0,2004,8,0
2005,Andre Iguodala,82,32.8,SG,5.7,3.0,1.7,0.6,9.0,0.58,0.26,0.385,6.6,-0.7,2.1,2.3,2004,9,1
2005,Luke Jackson,10,4.3,SF,0.6,0.3,0.0,0.0,2.9,0.489,0.222,0.222,0.1,4.0,-3.5,0.0,2004,10,0
2005,Andris Biedriņš,30,12.8,C,3.9,0.4,0.4,0.8,3.6,0.57,0.013,0.513,1.2,-3.2,1.5,0.0,2004,11,0
2005,Robert Swift,16,4.5,C,0.3,0.1,0.1,0.4,0.9,0.501,0.0,0.818,0.0,-7.6,1.9,-0.1,2004,12,0
